cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 0 12900 14.7770 14.3780 59.6250 26.6250 0.6313 0.6009
1 0 13000 14.5040 14.2820 59.7880 26.7880 0.6067 0.5762
1 0 13100 14.0900 13.8510 60.0780 27.0780 0.5079 0.4785
1 0 13200 14.2680 13.9970 60.0940 27.0940 0.4825 0.4432
1 0 13300 14.3390 14.0670 60.1900 27.1900 0.5562 0.5152
1 0 13400 14.5080 14.2530 60.4400 27.4400 0.5792 0.5260
1 0 13500 14.4760 14.2110 60.6350 27.6350 0.4774 0.4354
1 0 13600 14.6080 14.3060 60.9580 27.9580 0.5157 0.4417
1 0 13700 14.4350 14.0840 61.1220 28.1220 0.4613 0.3795
1 0 13800 14.6300 14.1800 61.3480 28.3480 0.4941 0.3997
1 0 13900 14.6730 14.2220 61.4750 28.4750 0.4541 0.3459
1 0 14000 14.4050 14.0900 61.7620 28.7620 0.4696 0.4292
1 0 14100 14.6180 14.2540 61.9230 28.9230 0.5790 0.5514
1 0 14200 14.7060 14.2750 62.1760 29.1760 0.8205 0.7763
1 0 14300 14.8150 14.3240 62.5180 29.5180 0.9283 0.8530
1 0 14400 14.6300 14.2070 62.6480 29.6480 0.5930 0.5274
1 0 14500 14.0440 13.6830 62.9630 29.9630 0.5718 0.5030
1 0 14600 14.5250 14.2270 63.1080 30.1080 0.6134 0.5352
1 0 14700 14.1350 13.7380 63.5890 30.5890 0.7322 0.6394
1 0 14800 14.9720 14.4980 63.6040 30.6040 0.6540 0.5814
1 0 14900 14.5980 14.1460 63.7950 30.7950 0.8001 0.7267
1 0 15000 14.6560 14.0880 63.9730 30.9730 0.8823 0.7938
1 0 15100 14.3170 13.8900 64.1520 31.1520 0.8260 0.7408
1 0 15200 14.7300 14.3500 64.4030 31.4030 0.8464 0.7544
1 0 15300 15.0270 14.5680 64.5630 31.5630 0.6273 0.5692
1 0 15400 14.7600 14.3470 64.7800 31.7800 0.6276 0.5552
1 0 15500 14.8730 14.3730 64.9890 31.9890 0.6283 0.5553
1 0 15600 14.6900 14.3080 65.2770 32.2770 0.5809 0.4962
1 0 15700 14.4780 14.0010 65.4160 32.4160 0.5922 0.4920
1 0 15800 14.9080 14.5040 65.7070 32.7070 0.6829 0.5594
1 0 15900 15.0080 14.6450 65.8420 32.8420 0.5766 0.4802
1 0 16000 15.3550 14.9700 66.0820 33.0820 0.5762 0.5090
1 0 16100 15.1260 14.7720 66.2070 33.2070 0.7020 0.6480
1 0 16200 15.3610 14.8840 66.5630 33.5630 0.9048 0.7438
1 0 16300 15.6150 15.1430 66.7930 33.7930 0.8446 0.6843
1 0 16400 15.7450 15.3510 67.0800 34.0800 0.7791 0.6159
1 0 16500 15.3520 15.0240 67.2970 34.2970 0.2368 0.2196
1 0 16600 15.4150 15.0920 67.3490 34.3490 0.2764 0.2583
1 0 16700 14.9890 14.6150 67.6500 34.6500 0.2680 0.2498
1 0 16800 15.3320 14.9630 67.8450 34.8450 0.2949 0.2728
1 0 16900 15.4990 15.1060 68.0880 35.0880 0.2777 0.2541
1 0 17000 15.2730 14.8970 68.1880 35.1880 0.1803 0.1737
1 0 17100 14.7870 14.4840 68.5540 35.5540 0.1931 0.1845
1 0 17200 14.6820 14.3740 68.5830 35.5830 0.2884 0.2632
1 0 17300 14.4610 14.1850 68.9470 35.9470 0.4810 0.4283
1 0 17400 14.7740 14.5000 69.0850 36.0850 0.5299 0.4550
1 0 17500 14.6530 14.2920 69.3530 36.3530 0.4564 0.3911
1 0 17600 14.6040 14.3510 69.5880 36.5880 0.3889 0.3021
1 0 17700 14.5380 14.2860 69.7710 36.7710 0.5396 0.4252
1 0 17800 14.5030 14.1960 69.9290 36.9290 0.4566 0.3862
1 0 17900 14.7680 14.4690 70.0480 37.0480 0.4976 0.4067
1 0 18000 14.2480 13.9500 70.3560 37.3560 0.6326 0.5223
1 0 18100 14.6630 14.3160 70.5640 37.5640 0.6531 0.5439
1 0 18200 14.2290 13.9060 70.8910 37.8910 0.6749 0.5623
1 0 18300 14.6400 14.2710 71.0330 38.0330 0.8538 0.7147
1 0 18400 14.3160 13.9370 71.1790 38.1790 0.7324 0.6541
1 0 18500 14.4310 14.1430 71.3580 38.3580 0.8770 0.8051
1 0 18600 14.1490 13.8360 71.6930 38.6930 1.0703 0.9690
1 0 18700 14.8660 14.6090 71.8200 38.8200 1.0296 0.9424
1 0 18800 14.9200 14.7100 71.9930 38.9930 0.9556 0.8589
1 0 18900 15.0320 14.8120 72.1030 39.1030 1.0569 0.9555
1 0 19000 14.9170 14.6110 72.2970 39.2970 0.9092 0.8405
