cost iteration update organism_size num_germ generation generation_diff workload workload_propagule_ineligible
1 1 3000 8.5510 3.8020 6057.4858 31.4858 54.4500 0.3735
1 1 3100 8.4630 3.7560 6058.8491 32.8491 51.8504 0.3190
1 1 3200 8.6290 3.7700 6060.2729 34.2729 53.6611 0.3194
1 1 3300 8.5930 3.6650 6061.5830 35.5830 54.8751 0.2655
1 1 3400 8.6170 3.7060 6062.5732 36.5732 56.0038 0.3351
1 1 3500 8.4780 3.5800 6063.6592 37.6592 57.2361 0.4696
1 1 3600 8.1900 3.5500 6064.7959 38.7959 54.0984 0.2811
1 1 3700 8.4410 3.7170 6065.9058 39.9058 53.1512 0.4100
1 1 3800 8.1530 3.4990 6067.2090 41.2090 52.9155 0.4413
1 1 3900 8.4910 3.6890 6068.4009 42.4009 55.2383 0.4237
1 1 4000 8.5220 3.5780 6069.5820 43.5820 54.6958 0.5674
1 1 4100 8.4780 3.6350 6070.6650 44.6650 55.1380 0.4803
1 1 4200 8.8930 3.7740 6071.8511 45.8511 57.3033 0.2801
1 1 4300 8.8990 3.7900 6072.7910 46.7910 58.4149 0.3586
1 1 4400 8.5850 3.8210 6073.8599 47.8599 53.2994 0.3813
1 1 4500 8.5930 3.7890 6074.8921 48.8921 52.3989 0.3882
1 1 4600 8.4670 3.6490 6075.9131 49.9131 54.2035 0.6827
1 1 4700 8.7130 3.7070 6076.8511 50.8511 55.6317 0.5212
1 1 4800 8.7570 3.7410 6077.9780 51.9780 55.4154 0.3905
1 1 4900 8.5580 3.8000 6078.9980 52.9980 53.1542 0.6261
1 1 5000 8.6060 3.6720 6080.0459 54.0459 56.3580 0.6138
1 1 5100 8.6760 3.7660 6081.1040 55.1040 52.0269 0.6306
1 1 5200 8.5450 3.6000 6082.2739 56.2739 54.6969 0.8944
1 1 5300 8.3560 3.8200 6083.1680 57.1680 48.6345 0.6937
1 1 5400 8.5760 4.0280 6084.0288 58.0288 50.8670 0.3776
1 1 5500 8.7550 3.9770 6085.1108 59.1108 54.7115 0.6173
1 1 5600 8.8080 4.0340 6086.3560 60.3560 52.7299 0.4142
1 1 5700 8.4490 3.9810 6087.6519 61.6519 52.2551 0.5092
1 1 5800 8.6550 4.2150 6088.6460 62.6460 53.4429 0.5668
1 1 5900 8.5680 4.1930 6090.0469 64.0469 51.4184 0.3658
1 1 6000 8.4380 4.0500 6091.0210 65.0210 53.1030 0.5546
1 1 6100 8.3950 4.0060 6092.1670 66.1670 54.5888 0.4169
