"","uni_id","iteration","timepoint","m","counts","avg_workload","avg_OGL","per_site_mutation_rate","time_to_fill","growth_rate"
"1911",20,55,3312,18,32,354.96875,100,0.005625,153,0.0226518686457498
"1912",20,68,3312,38,34,382.088235294118,100,0.0111764705882353,162,0.021767657559359
"1913",20,29,3312,32,31,403.709677419355,100,0.0103225806451613,174,0.0197355586464664
"1914",20,12,3312,26,33,383.151515151515,100,0.00787878787878788,153,0.0228529905978201
"1915",20,72,3312,29,31,381.967741935484,100,0.00935483870967742,186,0.0184622967983072
"1916",20,23,3312,28,31,395.451612903226,100,0.00903225806451613,151,0.0227416371157957
"1917",20,16,3312,32,31,371.41935483871,100,0.0103225806451613,194,0.0177009649715729
"1918",20,71,3312,33,32,415.6875,100,0.0103125,163,0.0212621834527591
"1919",20,53,3312,28,31,372.387096774194,100,0.00903225806451613,177,0.0194010576524585
"1920",20,94,3312,41,31,390.161290322581,100,0.0132258064516129,195,0.0176101907922315
"1921",20,42,3312,39,31,386.741935483871,100.032258064516,0.0125765881973557,166,0.020686669906537
"1922",20,78,3312,35,31,352.387096774194,100,0.0112903225806452,175,0.0196227840256294
"1923",20,88,3312,28,31,378.032258064516,100,0.00903225806451613,173,0.0198496370201454
"1924",20,97,3312,36,34,412.352941176471,100,0.0105882352941176,164,0.0215021983208303
"1925",20,99,3312,34,33,409.69696969697,100,0.0103030303030303,184,0.0190027584862309
"1926",20,62,3312,34,31,396.806451612903,100,0.0109677419354839,152,0.0225920210821391
"1927",20,8,3312,39,32,377.8125,100,0.0121875,194,0.0178646180556687
"1928",20,34,3312,32,31,428.612903225806,100,0.0103225806451613,145,0.0236826703757596
"1929",20,17,3312,39,32,386.84375,100,0.0121875,172,0.0201496273418589
"1930",20,31,3312,23,31,404.741935483871,100,0.00741935483870968,167,0.0205627976316476
"1931",20,38,3312,29,34,374.411764705882,100,0.00852941176470588,173,0.0203835868474923
"1932",20,1,3312,28,31,403.064516129032,100,0.00903225806451613,145,0.0236826703757596
"1933",20,52,3312,42,31,413.967741935484,100,0.0135483870967742,161,0.0213291130713363
"1934",20,81,3312,27,31,377.903225806452,100,0.00870967741935484,156,0.0220127384902894
"1935",20,19,3312,23,31,407.935483870968,100,0.00741935483870968,158,0.0217340962309186
"1936",20,64,3312,42,31,377.225806451613,100,0.0135483870967742,208,0.0165095538677171
"1937",20,51,3312,28,33,361.333333333333,100,0.00848484848484849,163,0.0214509666347637
"1938",20,77,3312,27,31,382.58064516129,100,0.00870967741935484,145,0.0236826703757596
"1939",20,61,3312,31,32,348.03125,100,0.0096875,156,0.0222162557871777
"1940",20,91,3312,28,32,414.71875,100,0.00875,194,0.0178646180556687
"1941",20,93,3312,37,31,376.58064516129,100,0.0119354838709677,184,0.0186629739374193
"1942",20,37,3312,33,31,410.741935483871,100,0.0106451612903226,196,0.0175203428800263
"1943",20,26,3312,33,31,367.516129032258,100,0.0106451612903226,175,0.0196227840256294
"1944",20,83,3312,27,33,360.393939393939,100,0.00818181818181818,174,0.0200948710429108
"1945",20,82,3312,32,31,371.129032258065,100,0.0103225806451613,175,0.0196227840256294
"1946",20,21,3312,34,34,390.970588235294,100,0.01,195,0.0180839001262367
"1947",20,74,3312,27,31,382.451612903226,100,0.00870967741935484,144,0.0238471333644802
"1948",20,59,3312,27,31,406.806451612903,100,0.00870967741935484,170,0.0201999247322656
"1949",20,48,3312,36,31,393.548387096774,100,0.0116129032258065,191,0.0179789905993987
"1950",20,76,3312,28,32,389.9375,100,0.00875,154,0.0225047785896086
"1951",20,79,3312,35,34,425.382352941176,100,0.0102941176470588,153,0.0230481080040272
"1952",20,96,3312,34,31,384.161290322581,100,0.0109677419354839,155,0.0221547561579687
"1953",20,75,3312,28,33,380.727272727273,100,0.00848484848484849,153,0.0228529905978201
"1954",20,40,3312,25,31,418.870967741935,100,0.00806451612903226,173,0.0198496370201454
"1955",20,70,3312,31,31,375.064516129032,100,0.01,153,0.0224443608136284
"1956",20,20,3312,23,34,369.176470588235,100,0.00676470588235294,143,0.0246598638085046
"1957",20,11,3312,26,32,393.3125,100,0.008125,144,0.0240676104361092
