"","X","strategy_rep","trans_viable_uni","final_viable_uni","num_viable_unicells_diff","adjusted_trans_viable_uni","adjusted_final_viable_uni","adjusted_num_viable_unicells_diff","value.x","trans_uni_avg_growth_rate","final_uni_avg_growth_rate","trans_uni_avg_rel_fitness","final_uni_avg_rel_fitness","trans_uni_avg_workload","final_uni_avg_workload","trans_multi_avg_growth_rate","final_multi_avg_growth_rate","trans_multi_avg_workload","final_multi_avg_workload","has_soma.x","logistic_entrench_trans","logistic_entrench_final","value.y","experiment","avg_total_SD_trans","avg_total_CV_trans","avg_total_SD_final","avg_total_CV_final","treatment","has_soma.y"
"14",14,3150,625,88,-537,563.407834172204,82.4774638021353,-480.930370370069,"difference",0.00256382979563946,0.00096713045117925,0.883045143105976,0.12988095428604,102.606125476512,184.203986486843,0.00290339606718359,0.00744628384119593,172.66,10692.57,"1",3.51577095379351,191.953796153612,"difference","main",2.03522611631571,0.443612498900407,40.8320782232421,2.67358330933173,"DW",1
"15",15,3158,88,7,-81,88,6.07058823529412,-81.9294117647059,"difference",0.000618897053304503,0.000346868474700829,0.516854630659455,0.0138414558367139,0.318875874056582,317.310401433301,0.00119742963802966,0.0250601149758232,0,15048.98,"1",90.7503078089595,503.219095656733,"difference","main",0.0162735216930599,1.05500951008492,39.0975983717447,1.63747621782713,"DW",1
"16",16,3181,110,107,-3,108.614905149051,101.694662021724,-6.92024312732723,"difference",0.000867122380643446,0.00154339115015515,0.330158026890748,0.0824565945017794,10.9546459935909,33.8353358907109,0.0026263858819655,0.0187176193666577,324.92,12279.34,"1",191.578648955736,191.493065517875,"difference","main",0.266438758491358,0.713117921937808,33.5784199116875,1.64618816682015,"DW",1
"17",17,3186,48,81,33,48,80.0549450549451,32.0549450549451,"difference",0.00201712447548186,0.00109919931652677,0.728555492308341,0.052408629580216,12.4365952503175,65.446290338408,0.00276866278104753,0.0209736321161451,184.83,24794.64,"1",95.7517796503356,191.493065517875,"difference","main",0.502606870448362,0.782140789275239,49.9389477566865,1.39222683674243,"DW",1
"18",18,3227,157,31,-126,155.378571428571,31,-124.378571428571,"difference",0.00207060142051416,0.000600478262405036,0.654982977401544,0.0330466711126317,12.0346796871315,378.626805212442,0.00316130570099497,0.0181706127179482,195.99,11301.89,"1",47.8742583051563,382.991487265192,"difference","main",0.256263408113922,0.842966372945404,29.0815481746716,1.51586061960408,"DW",1
"19",19,3257,127,40,-87,127,40,-87,"difference",0.000614326214743442,0.000786754673285195,0.509009255077312,0.0359074785486673,0.415348293200495,60.1517600588678,0.00120690578533809,0.0219106076250624,11.22,13671.43,"1",130.313876526889,503.241934877539,"difference","main",0.000398095849050035,0.0167091647030445,36.5191170858502,1.68324391782876,"DW",1
"20",20,3312,115,81,-34,114.022471910112,80.0597014925373,-33.962770417575,"difference",0.00125106660403551,0.00181784748277088,0.279672022132522,0.0874506789944013,11.4709511839668,125.076263994382,0.00447333485307551,0.0207871168488842,6181.92,14606.32,"1",62.8939578674227,191.493065517875,"difference","main",12.4743880561679,1.43678141506464,40.3339833132909,1.48520191445531,"DW",1
"21",21,3323,49,41,-8,49,41,-8,"difference",0.00264867006730928,0.00282279576823242,0.776484813048174,0.602139486783712,55.1401374457243,93.09463986201,0.00341110350492451,0.00468794329252545,76.92,3983.9,"0",7.83811469679886,47.8747235112831,"difference","main",0.250603214993551,0.0992448898588939,13.5463512195008,1.34476822284703,"DW",0
"22",22,3335,105,64,-41,105,61.5143033437151,-43.4856966562849,"difference",0.00172808665408842,0.00166478468265523,0.610836190207513,0.0841594613397398,14.4427160731423,238.546390725366,0.00282905086796077,0.0197813134275507,327.67,12228.27,"1",95.7467162636767,191.493065517875,"difference","main",0.673668853473096,1.24888665337486,30.8708488855903,1.48330046322964,"DW",1
"23",23,3358,116,76,-40,103.309270728746,73.4004978609825,-29.9087728677639,"difference",0.00165908149764741,0.00214387759524826,0.532402124057794,0.587285629226985,33.1198159523617,180.964525389061,0.0031162187802754,0.00365048536615843,50.37,3122.75,"0",11.9757344002052,47.8781416463848,"difference","main",0.303178826121473,0.353772706895154,12.4347281270626,1.11268677558934,"DW",0
"24",24,3362,43,39,-4,43,39,-4,"difference",0.00141586574888625,0.000868164432637521,0.508998497043073,0.0396399575919165,9.41203058379734,132.345112763957,0.00278166980278222,0.0219012452428698,218.14,20047.08,"1",191.578086854577,191.493065517875,"difference","main",0.311692635668241,0.860855119001248,43.4182297418686,1.43378896365785,"DW",1
"25",25,3366,173,54,-119,173,53.1058823529412,-119.894117647059,"difference",0.00181539269095662,0.00141699748812358,0.654339826769678,0.0573579670102226,20.3241181707455,183.779852412031,0.0027743881950741,0.0247044580201219,70.16,13885.73,"1",47.874843683399,191.493065517875,"difference","main",0.12391785844765,0.241708437829735,30.7672739586093,1.3605853367159,"DW",1
"26",26,3383,92,81,-11,91.2352941176471,76.0259430600755,-15.2093510575715,"difference",0.00122614242532344,0.00101534539011728,0.452094900703395,0.0370372501816161,30.1938737574134,204.817660368776,0.00271213504822933,0.027414167767273,124.08,13089.34,"1",44.9028389608698,382.991487265192,"difference","main",0.374413772429824,0.447651400843787,33.9744930377235,1.46916092342926,"DW",1
"27",27,3411,141,40,-101,140.25,39.6521739130435,-100.597826086957,"difference",0.00142860739929323,0.000842112955279369,0.501981792974293,0.0947611708491751,14.5784046957448,106.596908623202,0.00284593469183133,0.00888668795175297,5078.36,14771.46,"1",95.7545387826004,263.507736395772,"difference","main",8.82480292567198,1.24651142461948,34.1869907711256,1.56259418961181,"DW",1
"28",28,3416,142,54,-88,140.559916274202,47.970106560913,-92.589809713289,"difference",0.00111072422195373,0.000397393380597131,0.385877730030601,0.0216504856489681,8.48391327610051,163.041394443685,0.00287843566889866,0.0183549407177419,83.96,12288.99,"1",130.288835610606,383.002569850084,"difference","main",0.291090195054148,1.10673908072938,26.2970296487634,1.23659072447719,"DW",1
"29",29,3430,98,27,-71,97.1086956521739,27,-70.1086956521739,"difference",0.00107129792317207,0.0006803559283178,0.416302321360525,0.0452315242071093,18.492240403993,843.932968337927,0.00257336524012391,0.0150416316992224,354.41,19538.46,"1",62.9295745316487,383.188553284277,"difference","main",0.954485345930493,0.65908145939751,37.8181641231125,1.09788906933516,"DW",1
"30",30,3447,86,79,-7,56.8136361935271,71.232069294112,14.4184331005849,"difference",0.00139382727086984,0.00144635898114696,0.458756404615273,0.383368429238961,144.94871561483,119.595510290519,0.00303827315945322,0.00377276497185274,285.54,3974.8,"0",23.9392985889303,47.8813199307836,"difference","main",1.33273503772312,0.255463569168203,25.1895670898176,1.95778242417298,"DW",0
"31",31,3451,117,32,-85,112.024944250586,32,-80.0249442505864,"difference",0.0027159591636235,0.000808381036333369,0.852203745618171,0.169785409180644,91.4407252947207,24.8717839227191,0.00318698336822422,0.00476119261504554,189.06,4335.56,"0",8.18640760786975,164.329407190747,"difference","main",0.881774048429906,0.213013918562375,6.20489332897131,1.05326996455444,"DW",0
"32",32,3486,112,9,-103,112,4.53162789531617,-107.468372104684,"difference",0.00211595215693983,0.00043215915708309,0.677589057033346,0.0239992585167078,17.8653993928293,199.163309915034,0.0031227661293764,0.0180071878796684,134.25,15260.82,"1",16.317105297,251.608418982415,"difference","main",0.251932064373586,0.957629923736061,34.535740086568,1.39357583945553,"DW",1
"33",33,3493,161,68,-93,155.330856086765,65.9598584200941,-89.3709976666711,"difference",0.0023074041774685,0.00211841734165305,0.731837279121512,0.676111226753848,48.3147986225122,37.3306428990773,0.00315289237552681,0.00313323793161077,106.79,859.15,"0",5.99171723204604,23.9434469787954,"difference","main",0.737306058833737,0.371530028214719,4.23639392653795,1.59010011028061,"DW",0
