"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"5572",3447,"transition","uni","52_23",420.222222222222,878.902551165056,1.38629436111989e-05,0,0.00456277065413491,90,9,0.1,"DW.30"
"5573",3447,"transition","uni","54_23",122.428571428571,46.2199709463963,1.38629436111989e-05,0,0.00456277065413491,85,7,0.0823529411764706,"DW.30"
"5574",3447,"transition","uni","55_23",108.636363636364,74.8802680647882,1.38629436111989e-05,0,0.00456277065413491,88,11,0.125,"DW.30"
"5575",3447,"transition","uni","56_23",140.307692307692,76.9419528122604,1.38629436111989e-05,0,0.00456277065413491,87,13,0.149425287356322,"DW.30"
"5576",3447,"transition","uni","57_23",151,12.9357386079548,1.38629436111989e-05,0,0.00456277065413491,83,4,0.0481927710843374,"DW.30"
"5577",3447,"transition","uni","59_23",179,76.6237561073588,1.38629436111989e-05,0,0.00456277065413491,84,6,0.0714285714285714,"DW.30"
"5578",3447,"transition","uni","75_23",88.375,21.3871623710513,1.38629436111989e-05,0,0.00456277065413491,84,8,0.0952380952380952,"DW.30"
"5579",3447,"transition","uni","76_23",127.6,68.0463077617,1.38629436111989e-05,0,0.00456277065413491,83,5,0.0602409638554217,"DW.30"
"5580",3447,"transition","uni","77_23",89.4285714285714,39.2549663221404,1.38629436111989e-05,0,0.00456277065413491,82,7,0.0853658536585366,"DW.30"
"5581",3447,"transition","uni","78_23",142.2,228.734100843947,1.38629436111989e-05,0,0.00456277065413491,83,10,0.120481927710843,"DW.30"
"5582",3447,"transition","uni","83_30",0,0,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5583",3447,"transition","uni","85_30",0,0,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5584",3447,"transition","uni","86_1",159,4.24264068711928,1.38629436111989e-05,0,0.00456277065413491,85,2,0.0235294117647059,"DW.30"
"5585",3447,"transition","uni","87_30",0,0,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5586",3447,"transition","uni","88_30",0,0,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5587",3447,"transition","uni","90_23",0.36,3.6,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5588",3447,"transition","uni","91_23",0.74,7.4,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5589",3447,"transition","uni","91_30",18.8285714285714,32.6447596294251,1.38629436111989e-05,0,0.00456277065413491,95,70,0.736842105263158,"DW.30"
"5590",3447,"transition","uni","92_23",2.32,23.2,1.38629436111989e-05,0,0.00456277065413491,100,100,1,"DW.30"
"5591",3447,"transition","uni","94_2",158,80.032493401118,1.38629436111989e-05,0,0.00456277065413491,91,11,0.120879120879121,"DW.30"
"5592",3447,"transition","uni","96_1",154.142857142857,135.076010347613,1.38629436111989e-05,0,0.00456277065413491,85,21,0.247058823529412,"DW.30"
